scientificName,family,genus,species,NM_MUN,SIGLA_UF,Latitude,Longitude
Veyretia sincorensis (Schltr.) Szlach.,Orchidaceae,Veyretia,Veyretia sincorensis,Abaira,BA,-13.266667,-41.9
Skeptrostachys congestiflora (Cogn.) Garay,Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,Abaira,BA,-13.3,-41.883334
Cleistes pluriflora (Barb.Rodr.) Schltr.,Orchidaceae,Cleistes,Cleistes moritzii,Abaira,BA,-13.333333,-41.866667
Skeptrostachys congestiflora (Cogn.) Garay,Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,Abaira,BA,-13.266667,-41.9
Gomesa varicosa (Lindl.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa varicosa,Abaira,BA,-13.3,-41.816667
Gomesa sincorana (Campacci & Cath.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa sincorana,Abaira,BA,-13.283333,-41.9
Gomesa sincorana (Campacci & Cath.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa sincorana,Abaira,BA,-13.3,-41.883334
Gomesa sincorana (Campacci & Cath.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa sincorana,Abaira,BA,-13.25,-41.9
Gomesa sincorana (Campacci & Cath.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa sincorana,Abaira,BA,-13.333333,-41.866667
Rodriguezia obtusifolia (Lindl.) Rchb.f.,Orchidaceae,Rodriguezia,Rodriguezia obtusifolia,Abaira,BA,-13.283333,-41.716667
Bifrenaria tyrianthina (Lodd. ex Loudon) Rchb.f.,Orchidaceae,Bifrenaria,Bifrenaria tyrianthina,Abaira,BA,-13.333333,-41.85
Zygopetalum sellowii Rchb.f.,Orchidaceae,Zygopetalum,Zygopetalum sellowii,Abaira,BA,-13.333333,-41.866667
Cyrtopodium holstii L.C.Menezes,Orchidaceae,Cyrtopodium,Cyrtopodium holstii,Abaira,BA,-13.3,-41.833333
Zygopetalum sellowii Rchb.f.,Orchidaceae,Zygopetalum,Zygopetalum sellowii,Abaira,BA,-13.3,-41.883334
Sophronitis bahiensis (Schltr.) Van den Berg & M.W.Chase,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.316667,-41.85
Cyrtopodium aliciae L.Linden & Rolfe,Orchidaceae,Cyrtopodium,Cyrtopodium aliciae,Abaira,BA,-13.316667,-41.85
Cyrtopodium saintlegerianum Rchb.f.,Orchidaceae,Cyrtopodium,Cyrtopodium saintlegerianum,Abaira,BA,-13.3,-41.816667
Sophronitis bahiensis (Schltr.) Van den Berg & M.W.Chase,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.3,-41.85
"Bulbophyllum involutum Borba, Semir & F.Barros",Orchidaceae,Bulbophyllum,Bulbophyllum involutum,Abaira,BA,-13.283333,-41.866667
