family,genus,species,Long,Lat
Orchidaceae,Epidendrum,Epidendrum flammeum,-36.192222,-8.236667
Orchidaceae,Cyrtopodium,NA,-41.452778,-12.456667
Orchidaceae,Cyrtopodium,NA,-41.471389,-12.458611
Orchidaceae,Habenaria,NA,-41.016388,-11.681666
Orchidaceae,Habenaria,NA,-41.452778,-12.456667
Orchidaceae,Habenaria,Habenaria pseudohamata,-41.472222,-12.45
Orchidaceae,Habenaria,NA,-41.883334,-13.3
Orchidaceae,Habenaria,NA,-41.975556,-13.518333
Orchidaceae,Habenaria,NA,-41.333333,-13.666667
Orchidaceae,Bulbophyllum,Bulbophyllum mentosum,-41.883334,-13.05
Orchidaceae,Bulbophyllum,Bulbophyllum geraense,-41.418611,-12.450833
Orchidaceae,Octomeria,NA,-41.471111,-12.457778
Orchidaceae,Octomeria,NA,-41.716667,-13.366667
Orchidaceae,Octomeria,NA,-41.883334,-13.266667
Orchidaceae,Sobralia,Sobralia sessilis,-41.001111,-11.628055
Orchidaceae,Octomeria,NA,-41.452778,-12.456667
Orchidaceae,Sobralia,Sobralia liliastrum,-41.366667,-12.466667
Orchidaceae,Stelis,Stelis montserratii,-41.266667,-13.7
Orchidaceae,Sobralia,Sobralia sessilis,-41.450833,-12.450556
Orchidaceae,Veyretia,Veyretia sincorensis,-41.9,-13.266667
Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,-41.883334,-13.3
Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,-41.446666,-12.463889
Orchidaceae,Cleistes,Cleistes moritzii,-41.866667,-13.333333
Orchidaceae,Paradisanthus,Paradisanthus bahiensis,-41.420556,-12.447222
Orchidaceae,Paradisanthus,Paradisanthus bahiensis,-41.420833,-12.452778
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.760833,-13.150278
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.773611,-13.121389
Orchidaceae,Epidendrum,Epidendrum warrasii,-41.886389,-3.05
Orchidaceae,Epidendrum,Epidendrum martianum,-41.475555,-12.458889
Orchidaceae,Habenaria,Habenaria parviflora,-41.833333,-13.65
Orchidaceae,Sarcoglottis,Sarcoglottis curvisepala,-41.452778,-12.456667
Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,-41.916667,-13.1
Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,-41.9,-13.266667
Orchidaceae,Gomesa,Gomesa sincorana,-41.266667,-13.7
Orchidaceae,Dichaea,Dichaea cogniauxiana,-41.45,-13.583333
Orchidaceae,Gomesa,Gomesa sincorana,-41.483333,-12.6
Orchidaceae,Gomesa,Gomesa ramosa,-41.266667,-13.7
Orchidaceae,Gomesa,Gomesa warmingii,-41.916667,-13.533333
Orchidaceae,Gomesa,Gomesa varicosa,-41.816667,-13.3
Orchidaceae,Gomesa,Gomesa sincorana,-41.3,-13.7
Orchidaceae,Gomesa,Gomesa sincorana,-41.9,-13.283333
Orchidaceae,Gomesa,Gomesa sincorana,-41.883334,-13.3
Orchidaceae,Gomesa,Gomesa sincorana,-41.9,-13.25
Orchidaceae,Trichocentrum,Trichocentrum cebolleta,-42.316667,-13.9
Orchidaceae,Maxillaria,NA,-41.883334,-13.333333
Orchidaceae,Gomesa,Gomesa ramosa,-41.333333,-13.666667
Orchidaceae,Bifrenaria,Bifrenaria aureofulva,-41.266667,-13.7
Orchidaceae,Maxillaria,NA,-41.883334,-13.266667
Orchidaceae,Gomesa,Gomesa sincorana,-41.866667,-13.333333
Orchidaceae,Rodriguezia,Rodriguezia obtusifolia,-41.716667,-13.283333
Orchidaceae,Gomesa,Gomesa praetexta,-41.95,-13.3
Orchidaceae,Bifrenaria,Bifrenaria tyrianthina,-41.85,-13.333333
Orchidaceae,Maxillaria,NA,-41.883333,-13.333333
Orchidaceae,Bifrenaria,Bifrenaria tyrianthina,-41.95,-13.533333
Orchidaceae,Zygopetalum,Zygopetalum sellowii,-41.75,-13.25
Orchidaceae,Zygopetalum,Zygopetalum maculatum,-41.95,-13.55
Orchidaceae,Zygopetalum,Zygopetalum sellowii,-41.866667,-13.333333
Orchidaceae,Cyrtopodium,Cyrtopodium holstii,-41.833333,-13.3
Orchidaceae,Zygopetalum,Zygopetalum maculatum,-41.266667,-13.7
Orchidaceae,Zygopetalum,Zygopetalum maculatum,-42.366667,-13.85
Orchidaceae,Cattleya,Cattleya tenuis,-41.566667,-13.1
Orchidaceae,Cyrtopodium,Cyrtopodium aliciae,-42.4,-13.816667
Orchidaceae,Zygopetalum,Zygopetalum maculatum,-40.25,-10
Orchidaceae,Zygopetalum,Zygopetalum sellowii,-41.883334,-13.3
Orchidaceae,Cattleya,Cattleya pfisteri,-41.3,-13.7
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.85,-13.316667
Orchidaceae,Zygopetalum,Zygopetalum maculatum,-41.883334,-13.333333
Orchidaceae,Cattleya,Cattleya luetzelburgii,-42.4,-13.816667
Orchidaceae,Cyrtopodium,Cyrtopodium brandonianum,-41.75,-13.25
Orchidaceae,Cyrtopodium,Cyrtopodium aliciae,-41.85,-13.316667
Orchidaceae,Cyrtopodium,Cyrtopodium saintlegerianum,-41.816667,-13.3
Orchidaceae,Cyrtopodium,Cyrtopodium pallidum,-41.3,-13.583333
Orchidaceae,Cyrtopodium,Cyrtopodium parviflorum,-41.85,-13.383333
Orchidaceae,Cyrtopodium,Cyrtopodium parviflorum,-41.933334,-13.533333
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.85,-13.3
Orchidaceae,Bulbophyllum,Bulbophyllum ipanemense,-41.833333,-13.033333
Orchidaceae,Cattleya,Cattleya luetzelburgii,-42.316667,-13.85
Orchidaceae,Bulbophyllum,Bulbophyllum involutum,-41.866667,-13.283333
Orchidaceae,Cyrtopodium,Cyrtopodium vernum,-41.883334,-13.266667
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.933334,-13.533333
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.95,-13.533333
Orchidaceae,Cattleya,Cattleya luetzelburgii,-42.35,-13.833333
Orchidaceae,Cyrtopodium,Cyrtopodium aliciae,-41.9,-13.066667
Orchidaceae,Epistephium,Epistephium williamsii,-41.866667,-13.283333
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.9,-13.3
Orchidaceae,Cattleya,Cattleya elongata,-41.866667,-13.3
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.966667,-13.533333
Orchidaceae,Bulbophyllum,Bulbophyllum involutum,-41.866667,-13.3
Orchidaceae,Cattleya,Cattleya pfisteri,-41.45,-12.6
Orchidaceae,Cattleya,Cattleya elongata,-41.033333,-11.633333
Orchidaceae,Bulbophyllum,Bulbophyllum ipanemense,-40.633333,-11.083333
Orchidaceae,Cattleya,Cattleya elongata,-41.466667,-12.45
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.85,-13.466667
Orchidaceae,Galeandra,Galeandra montana,-41.916667,-13.066667
Orchidaceae,Cattleya,Cattleya elongata,-41.4,-12.566667
Orchidaceae,Bulbophyllum,Bulbophyllum ipanemense,-41.433333,-12.466667
Orchidaceae,Cattleya,Cattleya elongata,-41.416667,-13.016667
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.85,-13.483333
Orchidaceae,Promenaea,Promenaea xanthina,-41.9,-13.266667
Orchidaceae,Encyclia,Encyclia jenischiana,-39.866667,-12.9
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.416667,-12.45
Orchidaceae,Bulbophyllum,Bulbophyllum involutum,-41.85,-13.3
Orchidaceae,Cattleya,Cattleya elongata,-41.316667,-12.9
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.85,-13.333333
Orchidaceae,Bulbophyllum,Bulbophyllum mentosum,-41.9,-13.066667
