species,Long,Lat
Epidendrum flammeum,-36.192222,-8.236667
Habenaria pseudohamata,-41.472222,-12.45
Bulbophyllum mentosum,-41.883334,-13.05
Bulbophyllum geraense,-41.418611,-12.450833
Sobralia sessilis,-41.001111,-11.628055
Sobralia liliastrum,-41.366667,-12.466667
Stelis montserratii,-41.266667,-13.7
Sobralia sessilis,-41.450833,-12.450556
Veyretia sincorensis,-41.9,-13.266667
Skeptrostachys congestiflora,-41.883334,-13.3
Skeptrostachys congestiflora,-41.446666,-12.463889
Cleistes moritzii,-41.866667,-13.333333
Paradisanthus bahiensis,-41.420556,-12.447222
Paradisanthus bahiensis,-41.420833,-12.452778
Cattleya luetzelburgii,-41.760833,-13.150278
Cattleya luetzelburgii,-41.773611,-13.121389
Epidendrum warasii,-41.886389,-3.05
Epidendrum martianum,-41.475555,-12.458889
Habenaria parviflora,-41.833333,-13.65
Sarcoglottis curvisepala,-41.452778,-12.456667
Skeptrostachys congestiflora,-41.916667,-13.1
Skeptrostachys congestiflora,-41.9,-13.266667
Gomesa sincorana,-41.266667,-13.7
Dichaea cogniauxiana,-41.45,-13.583333
Gomesa sincorana,-41.483333,-12.6
Gomesa ramosa,-41.266667,-13.7
Gomesa warmingii,-41.916667,-13.533333
Gomesa varicosa,-41.816667,-13.3
Gomesa sincorana,-41.3,-13.7
Gomesa sincorana,-41.9,-13.283333
Gomesa sincorana,-41.883334,-13.3
Gomesa sincorana,-41.9,-13.25
Trichocentrum cebolleta,-42.316667,-13.9
Gomesa ramosa,-41.333333,-13.666667
Bifrenaria aureofulva,-41.266667,-13.7
Gomesa sincorana,-41.866667,-13.333333
Rodriguezia obtusifolia,-41.716667,-13.283333
Gomesa praetexta,-41.95,-13.3
Bifrenaria tyrianthina,-41.85,-13.333333
Bifrenaria tyrianthina,-41.95,-13.533333
Zygopetalum sellowii,-41.75,-13.25
Zygopetalum maculatum,-41.95,-13.55
Zygopetalum sellowii,-41.866667,-13.333333
Cyrtopodium holstii,-41.833333,-13.3
Zygopetalum maculatum,-41.266667,-13.7
Zygopetalum maculatum,-42.366667,-13.85
Cattleya tenuis,-41.566667,-13.1
Cyrtopodium aliciae,-42.4,-13.816667
Zygopetalum maculatum,-40.25,-10
Zygopetalum sellowii,-41.883334,-13.3
Cattleya pfisteri,-41.3,-13.7
Cattleya luetzelburgii,-41.85,-13.316667
Zygopetalum maculatum,-41.883334,-13.333333
Cattleya luetzelburgii,-42.4,-13.816667
Cyrtopodium brandonianum,-41.75,-13.25
Cyrtopodium aliciae,-41.85,-13.316667
Cyrtopodium saintlegerianum,-41.816667,-13.3
Cyrtopodium pallidum,-41.3,-13.583333
Cyrtopodium parviflorum,-41.85,-13.383333
Cyrtopodium parviflorum,-41.933334,-13.533333
Cattleya luetzelburgii,-41.85,-13.3
Bulbophyllum ipanemense,-41.833333,-13.033333
Cattleya luetzelburgii,-42.316667,-13.85
Bulbophyllum involutum,-41.866667,-13.283333
Cyrtopodium vernum,-41.883334,-13.266667
Cattleya luetzelburgii,-41.933334,-13.533333
Cattleya luetzelburgii,-41.95,-13.533333
Cattleya luetzelburgii,-42.35,-13.833333
Cyrtopodium aliciae,-41.9,-13.066667
Epistephium williamsii,-41.866667,-13.283333
Cattleya luetzelburgii,-41.9,-13.3
Cattleya elongata,-41.866667,-13.3
Cattleya luetzelburgii,-41.966667,-13.533333
Bulbophyllum involutum,-41.866667,-13.3
Cattleya pfisteri,-41.45,-12.6
Cattleya elongata,-41.033333,-11.633333
Bulbophyllum ipanemense,-40.633333,-11.083333
Cattleya elongata,-41.466667,-12.45
Cattleya luetzelburgii,-41.85,-13.466667
Galeandra montana,-41.916667,-13.066667
Cattleya elongata,-41.4,-12.566667
Bulbophyllum ipanemense,-41.433333,-12.466667
Cattleya elongata,-41.416667,-13.016667
Cattleya luetzelburgii,-41.85,-13.483333
Promenaea xanthina,-41.9,-13.266667
Encyclia jenischiana,-39.866667,-12.9
Encyclia alboxanthina,-41.416667,-12.45
Bulbophyllum involutum,-41.85,-13.3
Cattleya elongata,-41.316667,-12.9
Encyclia alboxanthina,-41.85,-13.333333
Bulbophyllum mentosum,-41.9,-13.066667
Encyclia alboxanthina,-41.35,-13.016667
Encyclia alboxanthina,-41.866667,-13.283333
Cattleya elongata,-41.433333,-12.466667
Encyclia alboxanthina,-41.333333,-10.333333
Bulbophyllum mentosum,-41.9,-13.116667
Prosthechea moojenii,-41.483333,-12.6
Encyclia oncidioides,-35.7,-6.966667
Prosthechea moojenii,-41.433333,-12.466667
Encyclia alboxanthina,-41.316667,-12.866667
Encyclia alboxanthina,-41.266667,-13.7
Epidendrum orchidiflorum,-41.466667,-12.45
Encyclia oncidioides,-41.85,-13.316667
Prosthechea bulbosa,-41.883334,-13.333333
Prosthechea carrii,-41.266667,-13.7
Prosthechea moojenii,-41.85,-13.383333
Epidendrum warasii,-41.95,-13.55
Encyclia alboxanthina,-41.383333,-13
Epidendrum secundum,-41.45,-12.6
Encyclia alboxanthina,-41.433333,-12.466667
Epidendrum dendrobioides,-41.266667,-13.7
Encyclia jenischiana,-40.5,-13.5
Encyclia oncidioides,-41.733333,-13.316667
Epidendrum secundum,-41.333333,-12.966667
Epidendrum saxatile,-41.966667,-13.533333
Epidendrum dendrobioides,-41.85,-13.333333
Epidendrum warasii,-41.933334,-13.533333
Epidendrum dendrobioides,-41.883334,-13.533333
Epidendrum dendrobioides,-41.866667,-13.283333
Epidendrum cristatum,-41.866667,-13.333333
Epidendrum dendrobioides,-41.85,-13.316667
Epidendrum saxatile,-41.9,-13.316667
Epidendrum secundum,-41.916667,-13.533333
Epidendrum orchidiflorum,-41.4,-12.566667
Epidendrum dendrobioides,-41.983334,-13.5
Epidendrum dendrobioides,-41.95,-13.533333
Epidendrum saxatile,-40.25,-10
Epidendrum dendrobioides,-41.883334,-13.3
Epidendrum secundum,-41.316667,-12.866667
Epidendrum saxatile,-41.916667,-13.533333
Octomeria alexandri,-41.416667,-13.016667
Epidendrum secundum,-41.45,-12.45
Epidendrum orchidiflorum,-41.333333,-12.533333
Epidendrum secundum,-41.883334,-13.3
Pelexia oestrifera,-41.45,-12.5
Octomeria pinicola,-41.2,-11.583333
Epidendrum secundum,-41.966667,-13.533333
Epidendrum secundum,-41.95,-13.55
Octomeria alexandri,-41.45,-12.5
Epidendrum secundum,-41.483333,-12.6
Skeptrostachys congestiflora,-41.966667,-13.516667
Thelyschista ghillanyi,-41.433333,-12.466667
Skeptrostachys congestiflora,-42.366667,-13.85
Liparis vexillifera,-41.466667,-12.45
Epidendrum secundum,-41.033333,-11.633333
Skeptrostachys congestiflora,-41.95,-13.533333
Barbosella crassifolia,-41.933334,-13.533333
Epidendrum secundum,-41.933334,-13.533333
Epidendrum secundum,-41.383333,-13
Epidendrum secundum,-41.266667,-13.7
Epidendrum secundum,-41.333333,-10.366667
Sarcoglottis schwackei,-41.9,-13.3
Acianthera ochreata,-41.916667,-13.533333
Thelyschista ghillanyi,-41.333333,-12.966667
Epidendrum secundum,-41.333333,-13.333333
Veyretia simplex,-41.95,-13.533333
Acianthera ochreata,-41.966667,-13.516667
Anathallis montipelladensis,-41.95,-13.533333
Pelexia viridis,-41.333333,-13.666667
Epidendrum secundum,-41.983334,-13.5
Acianthera ochreata,-41.333333,-10.366667
Veyretia sincorensis,-41.9,-13.3
Acianthera prolifera,-41.266667,-13.7
Stelis parvula,-41.966667,-13.516667
Acianthera ochreata,-41.35,-12.983334
Epistephium williamsii,-41.933334,-13.533333
Acianthera ochreata,-40.5,-13.5
Skeptrostachys congestiflora,-41.266667,-13.7
Acianthera ochreata,-41.2,-11.583333
Thelyschista ghillanyi,-41.383333,-13
Epistephium williamsii,-41.35,-13.016667
Acianthera ochreata,-41.433333,-12.466667
Anathallis montipelladensis,-42,-13.516667
Epistephium williamsii,-41.3,-13.583333
Skeptrostachys congestiflora,-41.333333,-12.533333
Acianthera prolifera,-41.45,-12.5
Stelis montserratii,-41.966667,-13.533333
Acianthera ochreata,-41.416667,-12.466667
Thelyschista ghillanyi,-41.35,-13.016667
Sobralia sessilis,-41.033333,-11.633333
Epistephium williamsii,-41.466667,-12.45
Habenaria mystacina,-41.466667,-12.966667
Anathallis montipelladensis,-41.966667,-13.516667
Epistephium williamsii,-41.316667,-12.866667
Habenaria imbricata,-41.866667,-13.333333
Epistephium williamsii,-41.916667,-13.533333
Epistephium williamsii,-40.25,-10
Habenaria hamata,-41.466667,-12.45
Sobralia liliastrum,-41.4,-12.55
Habenaria parviflora,-41.2,-11.583333
Habenaria johannensis,-41.416667,-13.033333
Habenaria johannensis,-41.4,-13.016667
Cleistes speciosa,-41.466667,-12.45
Habenaria fluminensis,-41.45,-13.583333
Prescottia leptostachya,-41.95,-13.533333
Habenaria meeana,-41.466667,-12.966667
Prescottia leptostachya,-40.416667,-12.433333
Habenaria imbricata,-41.95,-13.55
Habenaria repens,-41.033333,-11.633333
