Cell,x,y,NumbSpecies,FRic,FEve,FDis
43,-42.25887282,-14.83891425,1,NA,NA,0
44,-41.75887281,-14.83891425,3,2.240976372,0.937441181,1.364859568
61,-42.75887281,-14.33891348,7,2.550886325,0.4,1.451652506
62,-42.25887282,-14.33891348,4,3.559463431,0.5,1.590143927
63,-41.75887281,-14.33891348,4,2.491739027,0.87460906,1.242382957
64,-41.25887282,-14.33891348,3,NA,NA,1.460774492
79,-43.25887282,-13.83891266,1,NA,NA,0
80,-42.75887281,-13.83891266,2,NA,NA,3.46E-16
81,-42.25887282,-13.83891266,14,4.791862696,0.411877356,1.281623645
82,-41.75887281,-13.83891266,82,5.220569643,0.090975014,1.477836014
83,-41.25887282,-13.83891266,22,5.105015174,0.248531144,1.395938063
84,-40.75887282,-13.83891266,6,2.300123669,0.25,1.114893152
85,-40.25887281,-13.83891266,6,0.990194222,0.25,0.753217348
100,-42.25887282,-13.33891178,15,4.791862696,0.384615385,1.372902353
101,-41.75887281,-13.33891178,102,5.220569643,0.073466434,1.437197789
102,-41.25887282,-13.33891178,52,5.105015174,0.12,1.441195304
103,-40.75887282,-13.33891178,4,NA,NA,0.512060656
119,-42.25887282,-12.83891086,7,3.878842404,0.6,1.137543696
120,-41.75887281,-12.83891086,35,4.791862696,0.090909091,1.433039339
121,-41.25887282,-12.83891086,67,5.220569643,0.092307692,1.390929204
122,-40.75887282,-12.83891086,3,0.932114624,0.973548119,0.974222456
124,-39.75887281,-12.83891086,24,4.907417166,0.272727273,1.284624944
138,-42.25887282,-12.33890988,7,4.159039788,0.6,1.350840081
139,-41.75887281,-12.33890988,42,5.105015174,0.15,1.382817151
140,-41.25887282,-12.33890988,94,4.907417166,0.068772096,1.454963875
141,-40.75887282,-12.33890988,22,3.878842404,0.153471849,1.236187471
142,-40.25887281,-12.33890988,28,4.907417166,0.192307692,1.409961441
143,-39.75887282,-12.33890988,16,4.307840809,0.357142857,1.143743346
158,-41.75887281,-11.83890886,3,0.733396147,0.849181255,0.82318832
159,-41.25887282,-11.83890886,27,4.791862696,0.16,1.494432394
160,-40.75887282,-11.83890886,30,4.907417166,0.214285714,1.37352112
161,-40.25887281,-11.83890886,1,NA,NA,0
162,-39.75887281,-11.83890886,3,NA,NA,1.517924775
163,-39.25887282,-11.83890886,8,3.559463431,0.445223596,1.065765578
164,-38.75887281,-11.83890886,4,1.007607914,0.5,0.935404688
178,-41.25887282,-11.33890779,66,4.907417166,0.09375,1.453755247
179,-40.75887282,-11.33890779,38,4.907417166,0.111111111,1.492122559
180,-40.25887281,-11.33890779,22,4.907417166,0.252654899,1.414938922
181,-39.75887281,-11.33890779,2,NA,NA,0.682747542
182,-39.25887282,-11.33890779,16,3.994396873,0.285714286,1.099655598
183,-38.75887281,-11.33890779,1,NA,NA,0
184,-38.25887281,-11.33890779,11,4.791862696,0.333333333,1.490391413
196,-41.75887281,-10.83890668,3,0.801127711,0.88940923,0.81714845
197,-41.25887282,-10.83890668,15,4.791862696,0.307692308,1.483629415
198,-40.75887282,-10.83890668,8,0.632822908,0.166666667,0.966035649
199,-40.25887281,-10.83890668,13,4.19228634,0.272727273,1.364496273
200,-39.75887281,-10.83890668,12,4.307840809,0.4,1.516652258
201,-39.25887281,-10.83890668,12,4.791862696,0.4,1.2489197
202,-38.75887282,-10.83890668,3,0.934572992,0.974926768,0.959533985
203,-38.25887281,-10.83890668,15,3.994396873,0.307692308,1.13396639
204,-37.75887281,-10.83890668,23,2.356530841,0.142857143,1.039138911
216,-41.25887282,-10.33890552,13,4.307840809,0.450915487,1.16357608
218,-40.25887281,-10.33890552,22,4.791862696,0.25,1.384099599
220,-39.25887281,-10.33890552,6,1.934731482,0.507519018,1.120987389
221,-38.75887282,-10.33890552,1,NA,NA,0
222,-38.25887282,-10.33890552,10,3.878842404,0.375,1.289226316
223,-37.75887281,-10.33890552,13,2.240976372,0.181818182,1.157523119
233,-42.25887282,-9.838904329,1,NA,NA,0
237,-40.25887282,-9.838904329,4,1.489063754,0.5,1.066306459
239,-39.25887281,-9.838904329,6,NA,NA,0.886270351
240,-38.75887282,-9.838904329,2,NA,NA,0.725155665
241,-38.25887282,-9.838904329,7,2.240976372,0.4,1.133289086
242,-37.75887281,-9.838904329,20,4.907417166,0.333333333,1.311639064
243,-37.25887282,-9.838904329,28,3.994396873,0.153846154,1.245653277
244,-36.75887282,-9.838904329,40,3.878842404,0.105263158,1.200676924
250,-43.25887282,-9.338903098,1,NA,NA,0
253,-41.75887281,-9.338903098,1,NA,NA,0
258,-39.25887281,-9.338903098,1,NA,NA,0
259,-38.75887282,-9.338903098,7,3.878842404,0.6,1.172150195
260,-38.25887282,-9.338903098,17,3.994396873,0.266666667,1.24148264
261,-37.75887281,-9.338903098,16,3.878842404,0.214285714,1.309591636
262,-37.25887282,-9.338903098,15,3.878842404,0.307692308,1.228419129
263,-36.75887281,-9.338903098,65,3.994396873,0.079365079,1.167930096
274,-40.75887282,-8.83890183,1,NA,NA,0
277,-39.25887281,-8.83890183,1,NA,NA,0
278,-38.75887281,-8.83890183,3,1.007607914,0.99010473,0.942220296
279,-38.25887282,-8.83890183,7,2.300123669,0.4,1.164777564
280,-37.75887281,-8.83890183,3,NA,NA,0.606886704
281,-37.25887282,-8.83890183,6,0.934572992,0.25,0.869276663
282,-36.75887282,-8.83890183,5,2.240976372,0.333333333,1.309131831
293,-40.75887282,-8.338900528,1,NA,NA,0
296,-39.25887281,-8.338900528,3,NA,NA,1.004558362
297,-38.75887281,-8.338900528,3,1.007607914,0.99010473,0.942220296
298,-38.25887282,-8.338900528,3,1.007607914,0.99010473,0.942220296
299,-37.75887281,-8.338900528,2,NA,NA,2.19E-15
300,-37.25887282,-8.338900528,14,4.307840809,0.333333333,1.208350755
301,-36.75887282,-8.338900528,23,4.19228634,0.19047619,1.354922301
302,-36.25887281,-8.338900528,43,4.791862696,0.12195122,1.346643263
313,-40.25887281,-7.838899195,1,NA,NA,0
314,-39.75887281,-7.838899195,3,1.489063754,0.970759378,1.10165371
316,-38.75887281,-7.838899195,3,0.932114624,0.973548119,0.974222456
317,-38.25887282,-7.838899195,12,4.307840809,0.3,1.499543684
318,-37.75887281,-7.838899195,3,NA,NA,1.004558362
319,-37.25887282,-7.838899195,4,2.300123669,0.986654685,1.082490265
320,-36.75887282,-7.838899195,4,2.300123669,0.5,1.334329141
321,-36.25887281,-7.838899195,15,3.878842404,0.153846154,1.322293652
322,-35.75887282,-7.838899195,9,4.159039788,0.428571429,1.245410165
332,-40.25887281,-7.338897831,1,NA,NA,0
334,-39.25887282,-7.338897831,6,0.934572992,0.25,0.812499286
335,-38.75887281,-7.338897831,1,NA,NA,0
337,-37.75887282,-7.338897831,1,NA,NA,0
338,-37.25887282,-7.338897831,3,NA,NA,1.210117374
339,-36.75887282,-7.338897831,2,NA,NA,1.042392759
340,-36.25887281,-7.338897831,5,2.867095483,0.992214604,1.215806534
341,-35.75887282,-7.338897831,9,4.791862696,0.571428571,1.343656587
346,-42.75887281,-6.838896438,1,NA,NA,0
353,-39.25887282,-6.838896438,1,NA,NA,0
354,-38.75887281,-6.838896438,4,NA,NA,0.847596118
355,-38.25887281,-6.838896438,5,2.300123669,0.333333333,1.228093157
358,-36.75887282,-6.838896438,2,NA,NA,1.042392759
359,-36.25887282,-6.838896438,6,4.791862696,0.75,1.354256082
360,-35.75887282,-6.838896438,29,4.907417166,0.222222222,1.19824867
371,-39.75887281,-6.33889502,4,1.246865661,0.5,1.088901522
372,-39.25887282,-6.33889502,1,NA,NA,0
374,-38.25887281,-6.33889502,4,2.240976372,0.5,1.357809002
378,-36.25887282,-6.33889502,3,NA,NA,0.886270351
379,-35.75887282,-6.33889502,11,3.771926708,0.444444444,1.210632986
388,-40.75887282,-5.838893577,1,NA,NA,0
391,-39.25887281,-5.838893577,1,NA,NA,0
394,-37.75887281,-5.838893577,2,NA,NA,1.042392759
395,-37.25887282,-5.838893577,1,NA,NA,0
396,-36.75887281,-5.838893577,1,NA,NA,0
397,-36.25887282,-5.838893577,2,NA,NA,0.843051392
398,-35.75887282,-5.838893577,12,3.878842404,0.3,1.189682734
408,-40.25887281,-5.338892111,1,NA,NA,0
410,-39.25887281,-5.338892111,2,NA,NA,1.130128157
414,-37.25887282,-5.338892111,1,NA,NA,0
417,-35.75887282,-5.338892111,2,NA,NA,0.893839152
426,-40.75887282,-4.838890625,1,NA,NA,0
427,-40.25887281,-4.838890625,1,NA,NA,0
429,-39.25887281,-4.838890625,2,NA,NA,1.361382045
430,-38.75887282,-4.838890625,2,NA,NA,0.997054145
443,-41.75887281,-4.33888912,4,NA,NA,6.81E-16
445,-40.75887282,-4.33888912,5,NA,NA,0.667131365
447,-39.75887281,-4.33888912,1,NA,NA,0
448,-39.25887281,-4.33888912,3,NA,NA,0.886270351
449,-38.75887281,-4.33888912,50,3.994396873,0.083333333,0.880796953
462,-41.75887281,-3.838887598,3,NA,NA,5.35E-16
463,-41.25887282,-3.838887598,3,NA,NA,5.35E-16
464,-40.75887282,-3.838887598,4,0.934572992,0.5,0.957725421
465,-40.25887281,-3.838887598,1,NA,NA,0
466,-39.75887282,-3.838887598,2,NA,NA,1.11E-16
467,-39.25887281,-3.838887598,1,NA,NA,0
468,-38.75887281,-3.838887598,35,3.878842404,0.090909091,1.109541291
481,-41.75887281,-3.338886062,1,NA,NA,0
482,-41.25887282,-3.338886062,4,2.240976372,0.5,1.210427593
484,-40.25887281,-3.338886062,5,1.578718735,0.333333333,1.158714425
