sci_name,long,lat
Acianthera auriculata,-36.932067,-10.052769
Acianthera glanduligera,-39.533333,-12.533333
Acianthera glumacea,-36.572231,-9.526475
Acianthera glumacea,-41.185833,-11.576111
Acianthera ochreata,-41.916667,-13.533333
Acianthera ochreata,-41.966667,-13.516667
Acianthera ochreata,-41.333333,-10.366667
Acianthera ochreata,-41.35,-12.983334
Acianthera ochreata,-40.5,-13.5
Acianthera ochreata,-41.2,-11.583333
Acianthera ochreata,-41.433333,-12.466667
Acianthera ochreata,-41.416667,-12.466667
Acianthera ochreata,-36.761667,-8.310278
Acianthera ochreata,-36.059734,-8.362948
Acianthera ochreata,-36.386716,-8.242434
Acianthera ochreata,-41.94,-13.949722
Acianthera ochreata,-42.285,-13.25
Acianthera ochreata,-36.016917,-8.410639
Acianthera ochreata,-41.341614,-12.890217
Acianthera ochreata,-41.62,-13.0225
Acianthera ochreata,-41.62,-13.024167
Acianthera ochreata,-41.357222,-11.354722
Acianthera ochreata,-36.405111,-8.197611
Acianthera ochreata,-41.369944,-13.003833
Acianthera ochreata,-41.41775,-12.461639
Acianthera ochreata,-41.896389,-13.070556
Acianthera ochreata,-40.654222,-11.053694
Acianthera ochreata,-38.064694,-7.8235
Acianthera ochreata,-41.179518,-11.565769
Acianthera ochreata,-36.043056,-8.448056
Acianthera ochreata,-36.023333,-7.143611
Acianthera ochreata,-35.795556,-6.454444
Acianthera ochreata,-35.701667,-6.425
Acianthera ochreata,-35.806389,-6.451389
Acianthera ochreata,-35.699167,-6.424444
Acianthera ochreata,-41.906667,-13.530278
Acianthera ochreata,-41.65,-12.933333
Acianthera ochreata,-41.340833,-12.988333
Acianthera ochreata,-41.55,-12.516667
Acianthera ochreata,-41.383333,-12.55
Acianthera ochreata,-41.15,-11.55
Acianthera ochreata,-40.999444,-11.625278
Acianthera ochreata,-41.326667,-12.995278
Acianthera ochreata,-41.371944,-13.001389
Acianthera ochreata,-41.333333,-13
Acianthera ochreata,-41.002222,-11.638611
Acianthera ochreata,-41.2075,-11.591111
Acianthera ochreata,-40.701389,-11.243889
Acianthera ochreata,-41.206944,-11.590556
Acianthera ochreata,-41.2075,-11.591667
Acianthera ochreata,-41.208177,-11.591868
Acianthera ochreata,-41.473068,-12.455664
Acianthera ochreata,-41.052292,-13.277141
Acianthera ochreata,-41.455142,-12.600633
Acianthera ochreata,-41.3345,-12.974488
Acianthera ochreata,-41.473155,-12.455632
Acianthera ochreata,-41.01215,-11.56152
Acianthera ochreata,-41.471725,-12.458833
Acianthera ochreata,-41.953056,-13.523056
Acianthera ochreata,-41.844167,-13.098333
Acianthera ochreata,-35.754167,-8.328861
Acianthera ochreata,-41.751667,-13.166667
Acianthera ochreata,-36.72,-8.329167
Acianthera ochreata,-35.895556,-6.758611
Acianthera ochreata,-41.866667,-13.3
Acianthera ochreata,-41.390833,-10.396111
Acianthera ochreata,-41.448428,-12.813197
Acianthera ochreata,-41.208056,-11.5925
Acianthera ochreata,-41.185833,-11.576111
Acianthera ochreata,-39.9,-12.755
Acianthera ochreata,-41.43,-12.47
Acianthera ochreata,-41.92,-13.53
Acianthera ochreata,-41.35,-12.98
Acianthera ochreata,-41.33,-10.37
Acianthera ochreata,-41.42,-12.47
Acianthera ochreata,-41.2,-11.58
Acianthera ochreata,-41.9,-13.23
Acianthera ochreata,-41.87,-13.3
Acianthera ochreata,-41.77,-13.15
Acianthera ochreata,-41.155833,-11.550278
Acianthera ochreata,-41.569444,-13.6725
Acianthera ochreata,-41.45,-12.466667
Acianthera ochreata,-41.343889,-13.016667
Acianthera ochreata,-41.346111,-12.806389
Acianthera ochreata,-41.466667,-12.45
Acianthera ochreata,-41.001111,-11.628056
Acianthera ochreata,-41.472222,-12.455556
Acianthera ochreata,-41.440278,-12.459722
Acianthera ochreata,-41.195833,-11.435
Acianthera ochreata,-41.764444,-13.151111
Acianthera ochreata,-41.366667,-13
Acianthera ochreata,-38.066667,-11.55
Acianthera ochreata,-40.494444,-11.1725
Acianthera ochreata,-41.416667,-12.45
Acianthera ochreata,-41.374722,-13.006667
Acianthera ochreata,-40.703056,-11.253056
Acianthera ochreata,-35.943889,-8.381944
Acianthera ochreata,-36.016667,-8.410556
Acianthera ochreata,-41.2,-11.58333
Acianthera ochreata,-41.91667,-13.53333
Acianthera ochreata,-41.35,-12.98333
Acianthera ochreata,-41.33333,-10.36667
Acianthera ochreata,-41.471417,-12.459528
Acianthera ochreata,-41.207222,-11.591111
Acianthera ochreata,-41.421667,-12.461389
Acianthera ochreata,-36.391389,-8.192222
Acianthera ochreata,-41.363611,-13.000278
Acianthera ochreata,-41.136389,-11.565556
Acianthera ochreata,-41.3189,-12.9658
Acianthera ochreata,-41.1558252,-11.5539318
Acianthera ochreata,-41.001517,-11.625
Acianthera ochreata,-36.067778,-8.353889
Acianthera ochreata,-40.99925,-11.625778
Acianthera ochreata,-41.905139,-13.526444
Acianthera ochreata,-41.871389,-13.460833
Acianthera ochreata,-41.343333,-12.979444
Acianthera ochreata,-36.043055,-8.448055
Acianthera ochreata,-40.513889,-11.193055
Acianthera ochreata,-40.671778,-11.090806
Acianthera ochreata,-39.8,-10.716667
Acianthera ochreata,-35.699167,-6.691111
Acianthera ochreata,-41.41666,-12.46666
Acianthera ochreata,-41.33333,-10.36666
Acianthera ochreata,-41.43333,-12.46666
Acianthera ochreata,-41.76666,-13.15
Acianthera ochreata,-41.9,-13.23333
Acianthera ochreata,-36.107778,-8.200278
Acianthera ochreata,-36.107778,-8.100278
Acianthera ochreata,-41.945278,-13.949444
Acianthera ochreata,-41.416667,-12.416667
Acianthera ochreata,-41.421389,-12.431667
Acianthera ochreata,-41.383333,-12.383333
Acianthera ochreata,-41.313333,-10.308611
Acianthera ochreata,-41.120556,-11.133056
Acianthera ochreata,-41.103889,-11.100833
Acianthera ochreata,-41.225278,-11.229722
Acianthera ochreata,-41.269722,-11.279444
Acianthera ochreata,-41.904167,-13.915556
Acianthera ochreata,-40.998056,-11.992222
Acianthera ochreata,-40.15,-11.15
Acianthera ochreata,-41.193056,-11.187778
Acianthera ochreata,-41.192778,-11.185556
Acianthera ochreata,-41.15,-11.15
Acianthera ochreata,-41.163056,-11.154722
Acianthera ochreata,-41.891389,-13.898333
Acianthera ochreata,-40.216667,-10.216667
Acianthera ochreata,-41.426944,-12.4225
Acianthera ochreata,-40.67,-11.676111
Acianthera ochreata,-41,-11
Acianthera ochreata,-40.318889,-12.3325
Acianthera ochreata,-40.478611,-12.47
Acianthera ochreata,-40.998611,-11.9925
Acianthera ochreata,-41.206944,-11.208611
Acianthera ochreata,-41.185833,-11.192778
Acianthera ochreata,-41.027222,-11.017778
Acianthera ochreata,-40.494444,-11.489167
Acianthera ochreata,-41.001111,-11.011389
Acianthera ochreata,-41.280278,-10.274444
Acianthera ochreata,-40.513889,-11.509722
Acianthera ochreata,-41.433333,-12.433333
Acianthera ochreata,-40.655278,-11.655278
Acianthera ochreata,-41.207222,-11.207778
Acianthera ochreata,-41.341667,-12.341667
Acianthera ochreata,-40.506111,-11.511667
